Name,Price,CPU,RAM,GPU,Storage,Screen Size,Screen Resolution,Panel,Screen frequency,Weight,URL
Laptop ASUS TUF Gaming A15 FA506ICB-HN355W,16.890.000đ,AMD Ryzen™ 5 4600H Mobile Processor,8GB,NVIDIA GeForce RTX™ 3050 Laptop GPUAMD Radeon™ Graphics,512GB SSD + 1 khe SSD M2 trống,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506icb-hn355w.html
Laptop ASUS X509MA-BR270T,7.290.000đ,Intel Celeron N4020,4GB,Intel UHD Graphics 600,256GB SSD,15.6 inches,1366 x 768 pixels (HD+),,,,https://cellphones.com.vn/laptop-asus-x509ma-br270t.html
Laptop Asus Flip BR1100FKA-BP1088W,5.690.000đ,Intel Celeron N4500,4GB,Intel UHD Graphics,128G eMMC,11.6 inches,1366 x 768 pixels (HD+),,,,https://cellphones.com.vn/laptop-asus-flip-br1100fka-bp1088w.html
Laptop ASUS Flip BR1100FKA-BP1135W,5.990.000đ,Intel® Pentium® Silver N6000 Processor 1.1 GHz,8GB,Intel® UHD Graphics,128GB SSD + 64G eMMC,11.6 inches,1366 x 768 pixels,,,,https://cellphones.com.vn/laptop-asus-flip-br1100fka-bp1135w.html
Laptop ASUS ROG Flow X16 GV601VV-NL016W,48.990.000đ,"Intel Core I9-13900H (Up to 5.4GHz, 24MB)",16GB,NVIDIA GeForce RTX 4060 8GB GDDR6,1TB PCIe 4.0 NVMe M.2 SSD,16 inches,2560x1600 pixel (QHD+),,,,https://cellphones.com.vn/laptop-asus-rog-flow-x16-gv601vv-nl016w.html
Laptop ASUS  ZenBook 14 OLED UX3402VA-KM203W,22.690.000đ,"Intel Core i5-1340P (1.9 GHz, 12MB Cache, up to 4.6 GHz, 12 lõi / 16 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km203w.html
Laptop ASUS ZenBook UX325EA,21.690.000đ,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB,Intel Iris Xe Graphics,256GB SSD M.2 PCIE G3X2,13.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-13-ux325ea.html
Laptop Asus Vivobook Pro 16X Oled M7600RE-L2044W,33.990.000đ,"AMD Ryzen 9 6900HX ( 8 nhân, 16 luồng)",16GB,NVIDIA GeForce RTX 3050 Ti,512GB,16 inches,3840 x 2400 pixel (4K),,,,https://cellphones.com.vn/laptop-asus-vivobook-pro-16x-oled-m7600re-l2044w.html
Laptop ASUS TUF Dash 15 FX516PM-HN002W,28.990.000đ,"Intel® Core™ i7-11370H upto 4.8 GHz, 4 nhân 8 luồng",8GB,NVIDIA® GeForce RTX™ 3060 6GB,512GB M.2 PCIe NVMe 3.0,15.6 inches,1080 x 1920 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-dash-f15-fx516pm-hn002w.html
Laptop ASUS VivoBook 14X OLED S3405VA-KM071W,22.390.000đ,"Intel Core i9-13900H (24MB Cache, up to 5.4GHz, 14 lõi / 20 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVM PCIe 3.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-s3405va-km071w.html
Laptop ASUS VivoBook Pro M3401QA-KM025W,16.190.000đ,AMD Ryzen 7 5800H,8GB,AMD Radeon Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-pro-m3401qa-km025w.html
